feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24055	131217	310042	494	211	393	101	117	398	10	0
HEB24056	189312	471538	802	305	553	165	188	697	18	0
HEB24129	222711	339836	1674	243	308	104	161	420	9	3
HEB24130	375998	372564	534	443	445	133	185	1050	13	0
HEB24131	303527	256654	388	394	301	100	116	274	6	0
HEB24132	272419	394318	524	385	396	102	140	306	11	4
HEB24133	150697	279372	606	290	274	107	92	611	8	0
HEB24134	276314	324662	2141	259	337	96	82	1754	10	0
HEB24135	236675	288591	737	280	404	95	135	901	13	0
HEB24136	257884	367988	5111	617	382	114	169	1294	7	3
HEB24137	164948	389608	496	397	397	121	131	517	13	3
HEB24138	271148	383132	523	377	345	109	163	656	10	0
HEB24139	277804	320995	1156	443	320	88	113	644	7	3
HEB24140	297093	420398	402	220	332	102	136	268	9	0
HEB24141	189568	271953	5276	294	366	86	78	469	9	3
HEB24142	161932	361729	2756	500	348	107	177	600	12	0
HEB24143	148014	195116	15124	188	253	74	85	624	3	0
HEB24144	159045	226468	314	230	223	63	82	643	9	0
