feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24007	0.373052414087683	0.621526380880008	0.00171601130431759	0.000844347096191001	0.00072514515319933	0.000203636652610771	0.000248337381232647	0.00163405996851082	3.72506071848971e-05	1.24168690616324e-05
HEB24008	0.400662271998427	0.595354675939294	0.000643022286660974	0.000473051427448041	0.000540630202797761	0.000153588125794819	0.000143348917408497	0.00202326757713708	0	6.14352503179274e-06
HEB24010	0.112655633404382	0.882083343711859	0.000962534115696245	0.000658295051400389	0.000718787029096641	0.000204605218678499	0.000231292855897434	0.00246593767902957	1.95709339605521e-05	0
HEB24017	0.170972244680989	0.825104131236025	0.000845688753083047	0.000752755923073921	0.000669116376065707	0.000178431033617522	0.000204452226020077	0.00124344126552211	2.23038792021902e-05	7.43462640073008e-06
HEB24040	0.0847182928758321	0.911390249573642	0.00103207470353784	0.000840181416950401	0.000638779904450973	0.000178063139806361	0.000266230325535724	0.000916247224246322	1.55589151287111e-05	4.32192086908642e-06
HEB24042	0.507272945515653	0.487120029972029	0.00245341422871131	0.000738388566980573	0.000649272705448435	0.000229155072511212	0.000194599942529363	0.00132036970351698	2.18242926201155e-05	0
HEB24058	0.287261517953845	0.704282262767641	0.000959987275908296	0.000666500041656253	0.000662713109601388	0.000213961661099877	0.000183666204660956	0.00575045632531261	1.32542621920278e-05	5.68039808229761e-06
HEB24065	0.253496610143042	0.741453006609476	0.0017080509634741	0.000651158963650008	0.000818559307246307	0.000229820810700003	0.00024116998653704	0.00136615704138335	3.54661744907412e-05	0
HEB24067	0.438837872875342	0.553926284546436	0.000940741481290881	0.00076209893519209	0.000681791735569698	0.000195031770511524	0.000265505435486276	0.0043726450733172	1.80281468540064e-05	0
HEB24088	0.360357820573262	0.634157839999431	0.00136220093766805	0.000836272923472736	0.000606475547900908	0.000203737879372961	0.000248749736443732	0.00221268813179472	1.42142706539275e-05	0
HEB24090	0.188518397760618	0.780063857366659	0.0286085774041941	0.000739568505514954	0.00053479550533205	0.000129225679727075	0.000278332233258316	0.00110935275827243	9.94043690208272e-06	7.95234952166618e-06
HEB24097	0.42181782600453	0.566978491620681	0.0092446687717739	0.00044235791035831	0.000578938463326083	0.00019773602444588	0.000169196804422764	0.000570784400462335	0	0
HEB24098	0.199523467093402	0.793272834079446	0.00187372131180748	0.00172433001802824	0.000941924767557275	0.000197500354487816	0.000293718475904957	0.00214465128527154	2.78526140944356e-05	0
HEB24099	0.484348132771475	0.42446331137886	0.0870624817707094	0.000731002180802833	0.000493029851493063	0.000153766735861698	0.000247735296666069	0.00248223445033884	1.46444510344474e-05	3.66111275861185e-06
HEB24100	0.43324423842545	0.561777661476732	0.00101555734160732	0.000772571229198208	0.000768417620439078	0.000174451567883466	0.000207680437956508	0.00199996261752117	3.11520656934761e-05	8.3072175182603e-06
HEB24111	0.535715642957579	0.459522004628342	0.00164812196102512	0.0008180605364797	0.000696051507811578	0.000136010064744791	0.00024201790932529	0.00120408910259359	1.80013320985753e-05	0
HEB24120	0.530658100827726	0.445865450253851	0.0204652699413487	0.000746326580570432	0.000585120039167219	0.000234844097352829	0.000264697160575647	0.00116227926147502	1.39314295039814e-05	3.98040842970897e-06
HEB24123	0.0263975515964523	0.967753769162194	0.00127434246411857	0.0016692204244017	0.00110213402302147	0.000265120902340193	0.000338810095739884	0.00116460964351251	2.64319932846718e-05	8.00969493474902e-06
HEB24139	0.461795991508927	0.533592764302919	0.00192162879650516	0.000736402730840646	0.000531938767198661	0.000146283160979632	0.000187840877167027	0.0010705267689873	1.16361605324707e-05	4.98692594248745e-06
HEB24140	0.413226048737065	0.584730722154223	0.000559140981417603	0.000305997552019584	0.000461778123956827	0.000141871592299989	0.000189162123066652	0.000372760654278402	1.25180816735284e-05	0
HEB24141	0.404971566026208	0.580969532281426	0.0112710477630944	0.000628068241537101	0.000781880872117615	0.000183720642082281	0.000166630349795557	0.00100191838530918	1.92265788225643e-05	6.40885960752144e-06
HEB24142	0.306595905415205	0.684883965306034	0.00521810584272599	0.00094668103097351	0.000658889997557563	0.000202589740628331	0.000335125084964623	0.00113601723716821	2.27203447433642e-05	0
HEB24143	0.411743597019036	0.542771384301256	0.042071764571702	0.000522976179547737	0.000703792411838178	0.000205852325992194	0.000236451996072115	0.00173583582998823	8.34536456725112e-06	0
HEB24144	0.410887239489817	0.585072220772611	0.000811208105880742	0.000594197020231117	0.000576112763093648	0.000162758314237219	0.00021184415503892	0.00166116819134177	2.32511877481741e-05	0
