feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24001	0.34740297929164	0.361735544623645	0.00273643716572915	0.00066421736513274	0.283153787076821	0.000536217143726951	0.000204108461160581	0.000204108461160581	0.000999785513142509	0.000134919152292588	0.00209989552414361	4.84325162075956e-05	2.76757235471975e-05	1.38378617735987e-05	0	0	3.80541198773965e-05
HEB24002	0.437015723168774	0.439125257293115	0.00410321899281196	0.000552304591941202	0.1162749345317	0.000447232011035315	0.000161650124470596	0.000140096774541183	0.000961818240600045	0.000107766749647064	0.000951041565635339	6.19658810470617e-05	1.61650124470596e-05	1.88591811882362e-05	0	0	6.19658810470617e-05
HEB24003	0.469463330457291	0.136258843830889	0.00140120793787748	0.000562553925798102	0.38869715271786	0.000514236410698878	0.000234685073339085	0.000110440034512511	0.000790336496980155	9.3183779119931e-05	0.00170146678170837	1.72562553925798e-05	4.48662640207075e-05	2.41587575496117e-05	0	0	8.6281276962899e-05
HEB24004	0.215566985231978	0.545870144721103	0.00376159511694799	0.000877705527287865	0.226886878803913	0.000596839758555748	0.000178048835535538	0.0001880797558474	0.00389701254115812	0.000122878773820301	0.00190838258933161	5.26623316372719e-05	1.75541105457573e-05	1.25386503898266e-05	0	0	6.26932519491332e-05
HEB24005	0.192914916617174	0.288964326763259	0.00105537064018698	0.000818232702817028	0.510931845274973	0.000608867677030948	0.000260638093325528	0.000220046914856799	0.00151896462585615	0.000202955892343649	0.00235428835118633	2.99092893980115e-05	3.63184228404425e-05	2.99092893980115e-05	8.5455112565747e-06	1.28182668848621e-05	3.20456672121551e-05
HEB24006	0.342584704190439	0.261202611976444	0.000963718961667333	0.000553890021783029	0.391396572836538	0.000519116657186785	0.00020118875230684	9.68686585181082e-05	0.00122700300789604	0.000131642023114352	0.000941364655855462	4.96762351374914e-05	0	2.98057410824948e-05	9.93524702749828e-06	0	9.19010350043591e-05
HEB24016	0.157725402169847	0.573038423986933	0.00114423366455887	0.000715374157108574	0.262104331481025	0.000531055815608661	0.000197092880019709	0.000209867418539505	0.00121540609345487	0.000158769264460321	0.00276295018842444	4.37984177821576e-05	7.29973629702627e-06	1.45994725940525e-05	1.09496044455394e-05	0	0.000120445648900933
HEB24023	0.0376198400383788	0.187398337418576	0.00129116163319766	0.0011599841087799	0.766657671636421	0.000730846207470373	0.000211758003702954	0.000191144392723021	0.0035324233361068	0.000211758003702954	0.000788939111141095	5.99668683052613e-05	2.62355048835518e-05	3.37313634217095e-05	1.31177524417759e-05	0	7.30846207470373e-05
HEB24025	0.35260643957682	0.49246731696799	0.00283354504844448	0.000419524039430572	0.148973220772768	0.000452335975475422	0.00018280935796416	0.000128904034461908	0.000923421628690757	0.000189840487116628	0.000698425495811791	3.046822632736e-05	1.40622583049354e-05	2.34370971748923e-05	0	1.17185485874462e-05	4.45304846322954e-05
HEB24034	0.597619645019473	0.174518326426865	0.00205869381254198	0.000520517587728252	0.220933222580489	0.000375583049827871	0.000229090076036087	0.000208830409447862	0.000819737278877427	0.000104415204723931	0.00249661429802593	2.33765383710293e-05	2.18181024796273e-05	1.09090512398137e-05	0	0	5.92205638732742e-05
