feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Day	D5	-1.48789825125583	0.284729095606618	36	36	9.48086543623687e-06	0.00149797673892543
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Day	D5	-1.09829869296363	0.289561125118289	36	36	0.00142596851325621	0.0563257562736204
k__Bacteria.p__Bacteroidetes.__.__.__.__	Fat_percentage	Fat_percentage	0.590277003022747	0.167451335589304	36	21	0.00126576497875847	0.0563257562736204
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Fat_percentage	Fat_percentage	0.388415451415179	0.104940042076955	36	6	0.000778704026581278	0.0563257562736204
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Day	D5	-0.689761672308692	0.198428206979045	36	36	0.00285673938941941	0.0902729647056533
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Day	D5	-0.205156289445294	0.0731899489350065	36	36	0.00841051484376934	0.132886134531556
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Day	D5	-0.662738400282875	0.211528484888645	36	36	0.00600751864202792	0.132886134531556
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Day	D5	-0.30169787451174	0.107261026095657	36	36	0.00820973407755047	0.132886134531556
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Day	D5	-0.275594219198248	0.0858041727214546	36	36	0.00505792573402528	0.132886134531556
Unassigned.__.__.__.__.__	Day	D5	-0.779197886909581	0.275952352969775	36	18	0.00798850729629217	0.132886134531556
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Day	D5	-0.218587022193166	0.0846185358427647	36	36	0.0144085549086106	0.143656150739059
k__Bacteria.__.__.__.__.__	Day	D5	-0.343067315386466	0.120014401328046	36	36	0.0108219864364068	0.143656150739059
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Day	D5	-0.231809722249719	0.088325124996523	36	36	0.0130434700816565	0.143656150739059
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Day	D5	-0.281644741014734	0.108736638928971	36	36	0.014169979934646	0.143656150739059
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Day	D5	-0.421375949515803	0.155157510719519	36	36	0.0145474583026895	0.143656150739059
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__	Day	D5	-0.571853340792067	0.205280284078768	36	8	0.0125803155484123	0.143656150739059
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Day	D5	0.576651316618162	0.234563950831209	36	36	0.024855963213077	0.174058104935857
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Day	D5	-0.194229503897474	0.0827845655543938	36	36	0.0251224357761341	0.174058104935857
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Day	D5	1.03513244455039	0.434825730628614	36	36	0.0232154623151269	0.174058104935857
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Day	D5	-0.807163996986569	0.340477057030343	36	36	0.0237499864679529	0.174058104935857
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Day	D5	-0.757723699696483	0.309508955961197	36	36	0.025354509044093	0.174058104935857
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Day	D5	-1.02017024036481	0.439004012789041	36	36	0.0264392058130415	0.174058104935857
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Day	D5	0.861828523566285	0.349772775054396	36	36	0.0191220721951445	0.174058104935857
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria	Day	D5	0.567408205101821	0.236060379961411	36	7	0.02200903836274	0.174058104935857
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Day	D5	-0.391186583727557	0.167033939713691	36	36	0.0314003383945154	0.198162082651096
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Day	D5	-0.754065714184134	0.338028395494956	36	28	0.032608950309674	0.198162082651096
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Day	D5	-0.618434443650945	0.273816677962181	36	36	0.0371932800305856	0.209876365886876
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	Fat_percentage	Fat_percentage	0.203362875036563	0.0918879838810917	36	4	0.0365355606285746	0.209876365886876
