feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Day	D5	-1.41877893691545	0.302824713493608	36	36	4.65077027227176e-05	0.00734821703018938
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Lean_mass_percentage	Lean_mass_percentage	-0.8462250324969	0.24867427395946	36	36	0.00203498688741622	0.131463337760841
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Day	D5	-0.713564480049129	0.207452858620446	36	36	0.00249613932457294	0.131463337760841
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Day	D5	-0.989863312221527	0.303332183216573	36	36	0.00370964541103174	0.146530993735754
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Day	D5	-0.212471553014945	0.077506919952493	36	36	0.00980339132190377	0.15489358288608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Day	D5	-0.241120571130861	0.0875159736454056	36	36	0.00947371587878502	0.15489358288608
k__Bacteria.__.__.__.__.__	Day	D5	-0.379309982915832	0.132527342810503	36	36	0.00923536923898086	0.15489358288608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Day	D5	-0.279647905087843	0.0911629817416193	36	36	0.00593669720242358	0.15489358288608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Lean_mass_percentage	Lean_mass_percentage	1.16579905818323	0.392976894667155	36	36	0.0060916084406952	0.15489358288608
Unassigned.__.__.__.__.__	Day	D5	-0.819787402370051	0.28808595761502	36	18	0.00756043025260892	0.15489358288608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Day	D5	-0.238907708958903	0.0893228908512519	36	36	0.0115469421227396	0.154914650424993
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Day	D5	-0.619019795596459	0.224307934695715	36	36	0.0117656696525311	0.154914650424993
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Day	D5	-0.240429088191919	0.093299843418434	36	36	0.0146264125560243	0.165069513132275
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Day	D5	-0.29756965430001	0.11533904415345	36	36	0.0145213511688466	0.165069513132275
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Day	D5	-0.293410030504323	0.115597466237417	36	36	0.0160450818249713	0.169008195223031
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Day	D5	0.626145633207063	0.245691879255952	36	36	0.0190772735409163	0.175937255805902
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Day	D5	0.814269785004795	0.320779169498722	36	36	0.0184319650874661	0.175937255805902
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.868200341836831	0.34750494135353	36	36	0.0200434848386471	0.175937255805902
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	Day	D5	-0.364826810353653	0.156186873213598	36	36	0.0257250843585094	0.203228166432225
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Lean_mass_percentage	Lean_mass_percentage	0.334328135921981	0.142890688614266	36	34	0.0254961848165518	0.203228166432225
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__	Day	D5	-0.513069978879129	0.216017588958252	36	8	0.0274491744114617	0.206522359857664
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.606211274329519	0.261401848971901	36	36	0.0313301072392482	0.215224214947879
