feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__	Day_Num	Day_Num	-0.653560427566382	0.161841273726108	24	18	0.000853426505233152	0.0708343999343516
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	Day_Num	Day_Num	-0.503171713161044	0.179801135078629	24	24	0.0123445562135301	0.139542484802571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Day_Num	Day_Num	-0.599290169072021	0.217317425140883	24	24	0.0134498780532598	0.139542484802571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__	Day_Num	Day_Num	0.858527202744753	0.269370896893969	24	24	0.0053945595624898	0.139542484802571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium.s__	Day_Num	Day_Num	0.610805610386263	0.203602173530923	24	24	0.00805477366141674	0.139542484802571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4.s__	Day_Num	Day_Num	-0.157317004179097	0.0582012848092758	24	24	0.0129913697907632	0.139542484802571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium.s__	Day_Num	Day_Num	-0.545155614652742	0.177592540533913	24	24	0.00694056362427532	0.139542484802571
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__.__	Day_Num	Day_Num	-0.274212672426369	0.0988504584359259	24	4	0.0129963350220818	0.139542484802571
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium.s__	Day_Num	Day_Num	-0.541476175217944	0.214141309987083	24	24	0.021641440596325	0.165483602275439
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__	Day_Num	Day_Num	-0.298946909455283	0.114907814799562	24	24	0.018617423000786	0.165483602275439
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__.s__	Day_Num	Day_Num	0.469910392138589	0.186317125092494	24	24	0.0219315617473474	0.165483602275439
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	Day_Num	Day_Num	0.714742834150285	0.298875623246143	24	24	0.0286175083837768	0.185290494678009
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Day_Num	Day_Num	-0.334504728889608	0.140282965676294	24	24	0.029021402780893	0.185290494678009
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__.s__	Day_Num	Day_Num	0.247103725318275	0.10798610807793	24	3	0.0320925647916727	0.190263062693488
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__	Day_Num	Day_Num	-0.535631176485771	0.238364336222739	24	24	0.0382010860651387	0.211379342893767
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	Day_Num	Day_Num	-0.351052652954276	0.172986170389735	24	24	0.0583767157090095	0.255014073886726
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii	Day_Num	Day_Num	-0.146441866682094	0.0706025724473307	24	24	0.0535663392179366	0.255014073886726
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus.s__	Day_Num	Day_Num	-0.274950290010176	0.133891724156872	24	6	0.055736302919445	0.255014073886726
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__.s__	Day_Num	Day_Num	0.410170378236718	0.197655032715835	24	8	0.049867580115248	0.255014073886726
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	Day_Num	Day_Num	-0.10458480849655	0.0535463568692953	24	24	0.0674622129607614	0.255819328271112
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__	Day_Num	Day_Num	-0.233357196422011	0.119642518745419	24	24	0.0678075327947527	0.255819328271112
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__	Day_Num	Day_Num	-0.403335224966831	0.204530948993611	24	24	0.0651052868314809	0.255819328271112
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Day_Num	Day_Num	0.328443663819277	0.172469623246645	24	24	0.0739284125278179	0.266785140861256
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	Day_Num	Day_Num	-0.0911744767124714	0.04955362699594	24	24	0.0833084263687542	0.267172259728023
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Day_Num	Day_Num	-0.0793344116626937	0.0435972311898825	24	24	0.086458305059022	0.267172259728023
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	Day_Num	Day_Num	-0.251285014163105	0.13742185237355	24	7	0.0810558188438191	0.267172259728023
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum	Day_Num	Day_Num	-0.15830499994921	0.0893026936423362	24	24	0.090130400872104	0.267172259728023
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.__	Day_Num	Day_Num	-0.199049370854345	0.11138767070322	24	23	0.0877259355487227	0.267172259728023
