feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia
HEB24001	100421	104564	791	192	81849	155	59	59	289	39	607	14	8	4	0	0	11
HEB24002	162208	162991	1523	205	43158	166	60	52	357	40	353	23	6	7	0	0	23
HEB24003	136027	39481	406	163	112625	149	68	32	229	27	493	5	13	7	0	0	25
HEB24004	85961	217675	1500	350	90475	238	71	75	1554	49	761	21	7	5	0	0	25
HEB24005	90300	135259	494	383	239158	285	122	103	711	95	1102	14	17	14	4	6	15
HEB24006	137927	105162	388	223	157579	209	81	39	494	53	379	20	0	12	4	0	37
HEB24023	20075	100001	689	619	409110	390	113	102	1885	113	421	32	14	18	7	0	39
HEB24025	150448	210123	1209	179	63563	193	78	55	394	81	298	13	6	10	0	5	19
HEB24037	169188	108034	488	370	221659	273	111	54	567	67	218	16	9	13	5	8	44
HEB24044	234617	131044	517	368	198519	301	103	113	526	109	260	19	12	9	4	12	50
HEB24106	213645	41875	1926	574	338512	345	113	68	493	111	318	26	16	11	0	0	87
HEB24122	232145	381964	589	446	156670	405	126	107	1435	131	1052	20	16	9	5	0	65
HEB24133	150697	176420	606	290	102515	195	107	66	423	64	611	14	13	8	0	0	28
HEB24134	276314	195882	2141	259	128279	257	96	66	483	62	1754	18	14	10	0	0	20
HEB24135	236675	139968	737	280	148185	293	95	98	419	104	901	19	13	13	0	0	31
HEB24136	257878	250133	5111	617	117288	301	114	73	539	81	1294	28	8	7	3	6	88
HEB24137	164944	220719	496	397	161426	306	121	79	7433	104	517	30	12	13	3	4	27
HEB24138	271142	212901	523	377	169695	260	109	73	523	74	656	13	12	10	0	6	89
HEB24169	540469	612061	1371	1059	176224	534	221	224	1520	189	1546	64	34	29	4	10	115
HEB24170	321746	599468	1271	850	417295	770	273	223	1311	259	3969	63	36	33	10	10	156
HEB24171	396054	324692	1199	775	288757	485	183	138	768	165	1291	34	32	16	7	8	87
HEB24172	146490	345419	1965	3887	850300	1003	315	229	4234	317	6558	88	49	37	13	15	97
HEB24173	463089	580594	1069	666	198668	594	206	228	4234	200	1654	46	29	17	9	11	60
HEB24174	334758	849273	1127	665	308789	552	228	174	1116	199	2821	44	28	28	5	5	89
